_element_key,_element_name,_element_type,_list_child_element_keys
TreeID,TreeID,string,[]
comment_1,comment_1,string,[]
comment_2,comment_2,string,[]
comment_3,comment_3,string,[]
comment_custom,comment_custom,string,[]
condition_1,condition_1,integer,[]
condition_2,condition_2,integer,[]
condition_3,condition_3,integer,[]
condition_4,condition_4,integer,[]
crown_percentage,crown_percentage,number,[]
ground_percentage,ground_percentage,number,[]
lean_angle,lean_angle,number,[]
main_stem,main_stem,integer,[]
plot,plot,integer,[]
predisposing,predisposing,integer,[]
proximate,proximate,integer,[]
rooting,rooting,integer,[]
stand,stand,string,[]
support_percentage,support_percentage,number,[]
tag,tag,integer,[]
tree_percentage,tree_percentage,number,[]
char_upslope,char_upslope,number,[]
char_downslope,char_downslope,number,[]
char_sideslope1,char_sideslope1,number,[]
char_sideslope2,char_sideslope2,number,[]
char_downslope,char_downslope,number,[]
crown_scorch,crown_scorch,number,[]
