_element_key,_element_name,_element_type,_list_child_element_keys
comment_1,comment_1,string,[]
comment_2,comment_2,string,[]
comment_3,comment_3,string,[]
comment_custom,comment_custom,string,[]
crown_percentage,crown_percentage,number,[]
dbh,dbh,integer,[]
lean_angle,lean_angle,number,[]
main_stem,main_stem,integer,[]
overall_vigor,overall_vigor,integer,[]
plot,plot,integer,[]
rooting,rooting,integer,[]
stand,stand,integer,[]
tag,tag,integer,[]
tree_percentage,tree_percentage,number,[]
